数据ID,房间名称,房间编号,洁净等级,房间吊顶高度,房间面积,室压,房间人数,房间夏季温度,房间冬季温度,温度控制精度,房间夏季相对湿度,房间冬季相对湿度,湿度控制精度,职业暴露等级,电热设备功率,电热设备有无排风,电热设备有无保温,电动设备功率,电动设备效率,其他设备表面面积,其他设备表面温度,敞开水面表面面积,敞开水面表面温度,设备是否连续排风,设备排风量,是否连续排湿除味,排湿除味排风率,除尘排风粉尘量,除尘排风排风率,是否事故排风,事故通风介质,层流保护区域,层流保护面积,监控温度,监控相对湿度,监控压差,备注,系统编号,所在楼层,是否防爆区,
'222E6,包衣配浆间,C20,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'222BA,胶囊壳存放间,C23,D,2.6,0,30,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22290,胶囊填充前室,C26,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22266,压片间2,C30,D,4.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,0,
'2223C,压片间1,C37,D,4.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,0,
'22212,除尘间,C34,D,4.2,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'221E7,压片前室,C33,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'221BD,制粒配浆间,C39,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1C,,1,
'22193,制粒辅机房,C53,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1C,,1,
'22169,正压门斗2,C55,CNC,2.8,0,,2,,,,,,,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1C,,1,
'2213F,正压门斗1,C40,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1C,,0,
'22114,总混间2,C47,D,4.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'220EA,总混间1,C41,D,4.5,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'220C0,中试制粒干燥间,C46,D,3,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,0,
'22096,前室,C45,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'2206C,称量间,C44,D,3.2,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,0,
'22042,粉碎间,C42,D,3.2,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,1,
'22018,原辅料暂存间,C35,D,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'21FEE,称量后暂存间,C38,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'21FC4,女一更,C59,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'21F9A,男一更,C58,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'21F70,女二更,C52,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'21F46,男二更,C54,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'21F19,包衣辅机间,A06,CNC,2.8,23,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21EEF,外包间,A02,CNC,3.5,259,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21EC5,配料辅机房,A50,D,3,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21E9B,货厅,A01,,2.8,42,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21E71,保健品CNC走廊,A31,CNC,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21E47,保健品空调机房,A18,,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21E1D,更鞋,A60,CNC,2.8,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21DF3,男总更,A68,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21DC9,女总更,A67,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21D9F,总更洗手,A71,CNC,2.8,0,,2,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21D75,CNC洗衣间,A75,CNC,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
